crown,smooth,200,large
statue,painting,50,large
cavern,pencil sketch,50,medium
mouse,painting,500,large
rope,watercolor,50,medium
fire,watercolor,300,large
toy,minimalist,300,large
house,pencil sketch,50,large
salmon,smooth,50,large
chocolate,minimalist,300,large
field,pencil sketch,200,large
sun,smooth,300,medium
rabbit,smooth,50,large
surf,painting,100,medium
fish,watercolor,100,medium
snake,painting,500,large
whale,pencil sketch,200,large
snail,watercolor,200,large
spider,steampunk,50,medium
hair,steampunk,50,large
error,pencil sketch,50,medium
astronaut,steampunk,50,large
wolf,watercolor,300,large
sword,painting,100,large
moon,painting,50,medium
island,steampunk,50,medium
matrix,painting,300,large
monster,painting,300,large
flower,pencil sketch,300,large
butterfly,pencil sketch,50,large
ball,painting,300,medium
